Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
Wonderful,"The staff was super nice!
We needed a taxi for the airport and they've helped us book it for a really good price (better than everything we've seen online). The room was really clean and the bed was comfortable.","The wifi in the room wasn't great. We had to work that day so we needed a strong wifi, but there is a Cafe Nero 10 minutes away which was perfect.",9.0,United Kingdom,Double Room,1,2021-09-01,Solo,,9,0,211,146,9.0,No,1,5,5
Exceptional,Breakfast was exceptional,Size of room was a bit small,10.0,United States of America,Double Room,1,2021-10-01,Couple,,11,0,25,28,10.0,No,2,3,3
Exceptional,Absolutely clean and friendly staff. Ultimate hygiene. Very clean . Very economic . Staff and owners very friendly and helpful . Location is great . Definitely a place to come again if came to larnaca,Nothing,10.0,Qatar,Double Room with Balcony,2,2021-10-01,Solo,,11,0,200,7,10.0,No,2,5,1
Good vibes,"A modern, clean, friendly and all you need for a great Holiday.",,10.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Couple,,10,0,63,0,10.0,No,1,5,1
Fabulous hotel,"Exceptionally friendly and helpful. Tastefully decorated room and super comfy bed.
Dinner and breakfast were freshly made and very tasty.",Couldn’t fault it at all,10.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Couple,,14,0,137,24,10.0,No,2,5,3
Wonderful,"Excellent hotel, clean and with excellent owners",Nothing,9.0,Australia,Double Room,1,2021-09-01,Solo,,9,0,48,7,9.0,No,1,5,1
"Value for money, friendly staff, brand new facilities","The family running this hotel are very friendly and welcoming! They gave us a free room upgrade. The building and the hotel are brand new. Spotlessly clean. Walking distance to the beach, restaurants and shops. It is away from traffic. Fully stocked minibar with coffee and tea-making facilities. Value for money. We will stay again!
Tip: If you like sleeping in the dark, bring a sleeping mask and/or some blu tack to secure the curtains in place.",On the 4th floor with all the windows and balcony doors locked we could still hear some outside noise.,9.0,Cyprus,Double Room with Balcony,2,2021-09-01,Couple,,53,0,448,102,9.0,No,5,5,5
Just great!,"It’s definitely one of the best accommodations I’ve ever been in. Everything was just good:
Clean rooms, cleaning every day;
Great staff and very pleasant hosts;
Strong wi-fi at any time;
Very friendly and comfortable atmosphere.
Garnish restaurant on the ground is amazing! The owner is a very kind person and creative chef. I’ll miss his breakfasts.
In other words, I’ll stay here my next time in Larnaca for sure.",No such thing.,10.0,Russia,Double Room with Balcony,14,2021-09-01,Solo,,11,0,416,14,10.0,No,2,5,2
Exceptional,"Very good value for money, the room was nice, with a big balcony.",A bit farther away than most hotels so it's a bit of a trek to get to get to the busier beach and bars. But the area its in is good for water sports and is where the quieter beaches are.,10.0,United Kingdom,Standard Triple Room,2,2021-07-01,Solo,,11,0,65,186,10.0,No,2,5,5
Amazing!!,I stay in larnaca every year but this was my first time at La Veranda and I’d 100% recommend! The owners were absolutely lovely and made sure we had everything we needed! Property was clean and modern and location was good.,,10.0,United Kingdom,Double Room,12,2021-08-01,Couple,,9,0,223,0,10.0,No,1,5,1
Exceptional,Extremely friendly people work at La Veranda! they helped us in any possible way. thank you!,,10.0,Russia,Double Room with Balcony,1,2021-09-01,Group,,11,0,92,0,10.0,No,2,5,1
Wonderful,"great friendly staff, very welcoming, the owner took me personally to our room, and gave me a prime parking spot.
he introduced us to his daughter who was learning the trade and she was super nice and helpful.
couldn't have been more pleased",all good!,9.0,United Kingdom,Standard Triple Room,3,2021-09-01,Couple,,9,0,241,9,9.0,No,1,5,1
Wonderful,"Great location 5 min walk to beach And amenities , staff very good and helpful, rooms were comfortable snd very clean",Notting,9.0,United Kingdom,Double Room,7,2021-09-01,Solo,,9,0,117,7,9.0,No,1,5,1
Last minute booking as i had to change my flights. very clean and quiet and close to the airport,Very modern and clean,,10.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Solo,,96,0,21,0,10.0,No,5,3,1
Exceptional,Clean and good communication.,Booked a taxi from the airport was a no show.,10.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Couple,,11,0,29,45,10.0,No,2,3,5
"Exceptional staff and room cleanliness, an easy 10 minute drive from the airport",We picked up our hire care from the airport and within 10 minutes we had arrived. A family run hotel. Exceptional staff who were so friendly and keen to please. Rooms were also exceptional in their cleanliness and although compact had everything that you might need for your stay. I rarely write reviews but this place deserves to do well. Also only 10 minutes walk from beach and loads of restaurants.,I was happy with everything,10.0,United Kingdom,Double Room,1,2021-09-01,Couple,,80,0,402,27,10.0,No,5,5,3
Very good,"Staff and owners were very welcoming, breakfast was a typical Cypriot one, not much parking around the property which was an apartment before being converted into this hotel, the inside is excellent compared to the view from outside",Aircraft noise does not bother me but the noise from aircraft landing and taking off may be an issue if you have young family or just want a quiet area,8.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Solo,,9,0,232,151,8.0,No,1,5,5
Great for your money,Very friendly and helpful staff. Clean rooms. Comfortable bed. Close to bus stop.,Slight smell from toilet after night. Pretty far from major tourist spots.,9.0,Poland,Double Room with Balcony,4,2021-09-01,Couple,,20,0,81,74,9.0,No,2,5,5
Wonderful,"6 mins drive from the airport 
Lovely clean room
Comfortable bed
Easy parking 
Lovely helpful staff",Nothing we didn’t like,9.0,Cyprus,Double Room with Balcony,1,2021-09-01,Couple,,9,0,99,22,9.0,No,1,5,3
Little larnaca gem 💎,"Clean, modern room, with comfy bed and great air conditioning. Fab location Close to Mackenzie beach and bars.",,10.0,United Kingdom,Double Room with Balcony,1,2021-09-01,Family,,20,0,110,0,10.0,No,2,5,1
Exceptional,"Super clean, good beds.",,10.0,Czech Republic,Double Room,1,2021-09-01,Group,,11,0,23,0,10.0,No,2,3,1
Modern clean 3 * near the airport.,"* Very clean and comfy room with balcony
* Simple clear contemporary decoration
* Near the airport
* Friendly staff.
* Healthy breakfast.","* Weak WiFi
*This hotel being new , the staff , although very friendly , still needs to improve its organisation and collaboration. 
*Pool is very tiny.
* Far from centre town.",9.0,Spain,Double Room with Balcony,1,2021-09-01,Solo,"Thank you for all your detailed comments;
Actually the swimming pool is for private use, we don’t promote it on booking site thus you are commenting something that is not even accessible for guests.",34,198,137,176,9.0,No,4,5,5
Exceptional,"Very nice staff, very clean and a home-experience. Definitely recommend",,10.0,United Arab Emirates,Double Room with Balcony,1,2021-09-01,Solo,,11,0,71,0,10.0,No,2,5,1
Wonderful,"We’ve chosen La Veranda as we had an early flight from Larnaka airport, and we enjoyed one night stay. There is a beach strip nearby with various restaurants for every taste - we walked there, had cocktails in one place, and a dinner in another. Breakfast in the hotel was great, and we were in the airport in no time at all.",Nothing to complain about,9.0,Russia,Double Room with Balcony,1,2021-09-01,Family,,9,0,325,25,9.0,No,1,5,3
Exceptional,"The communication prior to arriving was brilliant. The staff at the hotel were friendly, polite and nothing was too much for them. Always willing to help in anyway which made our stay enjoyable. Extremely clean too.",,10.0,United Kingdom,Double Room with Balcony,3,2021-09-01,Family,,11,0,215,0,10.0,No,2,5,1
Wonderful,"Staff is friendly, hotel is comfortable and clean",,9.0,Lebanon,Double Room with Balcony,1,2021-09-01,Couple,,9,0,49,0,9.0,No,1,5,1
Great,Location close to airport,N/a,8.0,Slovakia,Standard Triple Room,1,2021-08-01,Group,,5,0,25,3,8.0,No,1,3,1
Exceptional,Excellent all round would come again,Good location and nice atmosphere,10.0,Australia,Double Room with Balcony,1,2021-08-01,Solo,,11,0,36,33,10.0,No,2,4,4
"Felt welcome from the time i stepped into the lobby and until my departure. great people running the hotel, food delicio",Everything!,,10.0,Norway,Double Room with Balcony,1,2021-08-01,Solo,,120,0,11,0,10.0,No,5,2,1
Very good,The location near Makanzie Beach6,,8.0,Angola,Double Room with Balcony,4,2021-08-01,Couple,,9,0,33,0,8.0,No,1,4,1
Fantastic place with very helpful staff,"Excellent service, very kind and helpful staff, the room with a balcony overlooking Makenzy and Salt Lake made an amazing impression. I recommend the breakfasts, which are really delicious.",,10.0,Poland,Double Room with Balcony,4,2021-08-01,Couple,,39,0,189,0,10.0,No,4,5,1
Exceptional,"The staff were exceptionally attentive to ensuring that our stay was pleasent. Hospitality was great, highly recommend the hotel 😊",,10.0,Hungary,Double Room with Balcony,1,2021-08-01,Couple,,11,0,130,0,10.0,No,2,5,1
Perfect place to spend a night before catching your flight,Enjoyed an excellent overnight stay before heading the the airport. Loads of bars and restaurants 5 mins walk away on the beach. Really friendly and accomodating hosts.,,10.0,United Kingdom,Standard Triple Room,1,2021-08-01,Family,,58,0,168,0,10.0,No,5,5,1
Wonderful,"We arrived in the night and were checked-in quickly and slept well the rest of the night, next morning we were ready to continue our trip. The hotel had been just renovated, very convenient for our short stay in Larnaka. Actually, it was a pity not to be able to stay longer. Next time.",,9.0,Austria,Standard Triple Room,1,2021-07-01,Family,,9,0,286,0,9.0,No,1,5,1
Excellent,Staff excellent and accommodating. Very nice clean rooms,,10.0,United Kingdom,Double Room with Balcony,1,2021-08-01,Couple,,9,0,56,0,10.0,No,1,5,1
Nice choice for travelers in larnaca,Friendly Staff. Nice room with comfortable beds and nice bathroom. Good choice for travelers in larnaca,,10.0,Spain,Two-Bedroom Suite,1,2021-08-01,Family,,36,0,103,0,10.0,No,4,5,1
Exceptional,Clean and perfect location.,Nothing.,10.0,Germany,Standard Triple Room,3,2021-08-01,Group,,11,0,27,8,10.0,No,2,3,1
Very good,"Location and staff
The food was amazing at the restaurant",Mostly the bathroom floor sink was closed with tapes and there was bugs under it. But I think it was a special case and don't think that all hotel rooms has the same issue.,8.0,Saudi Arabia,Double Room with Balcony,1,2021-08-01,Couple,,9,0,57,172,8.0,No,1,5,5
"Spotless clean, friendly & efficient staff, excellent breakfast, a throughly enjoyable stay and highly recommended","Extremely clean, newly renovated, efficiently run, good location from the airport and sea.",Nothing,10.0,United Kingdom,Double Room with Balcony,1,2021-08-01,Couple,,114,0,90,7,10.0,No,5,5,1
"Hotel, service, location - all super great! the only disappointing thing was not really wifi connection",People working here are the best ever,WiFi,10.0,Ukraine,Family Suite with Balcony,5,2021-08-01,Group,,103,0,37,4,10.0,No,5,4,1
Wonderful,"Bright, cozy, looks like almost new hotel in silent part of town. Very helpful staff. 15 minutes drive from the airport, 15 walk to the city center, about 300 meters to the nice beach.",TV with only 3 channels. But that was not a big problem :),9.0,Lithuania,Double Room with Balcony,1,2021-08-01,Solo,,9,0,184,58,9.0,No,1,5,5
Exceptional,"I stayed for a couple of nights so that I could quickly get to the airport. Cozy, clean hotel, with wonderful staff.  Can also enjoy delicious breakfast, if desired. Nice place, recommend",,10.0,Russia,Double Room with Balcony,1,2021-07-01,Couple,Thank you so much for your nice review and recommendations. We are happy hosting you. Hoping to see you again.,11,110,187,0,10.0,No,2,5,1
Amazing hotel,"Location is great. Rooms were a great size, very clean, modern and comfy.",Pool could of been bigger but you’re right next to an amazing beach “mckenzie beach” so it didn’t matter.,10.0,United Kingdom,Double Room,2,2021-08-01,Family,"Thank you so much for your nice comments and the great score. 
you are right, being near makenzie beach , you won’t need a swimming pool. 
Yes actually the swimming pool at the hotel is for private use, thus we don’t promote it on booking sites. But of course our guests are always welcomed if they would like to make use of it.
Hope to see you another time whenever you come to larnaca.",13,387,73,105,10.0,No,2,5,5
